condition,split,drive,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,horizon_frames,horizon_seconds,temporal_fusion_applied,alignment_applied,feature_mse,feature_cosine,normalized_feature_error,copy_mse,raw_previous_to_current_mse,aligned_previous_to_current_mse,alignment_mse_reduction_fraction,alignment_patch_matching_mse,nonzero_motion_fraction,mean_motion_magnitude_cells,prediction_base_current_max_abs,aligned_temporal_difference_rms,predicted_residual_rms
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,0,0,1,0000000000.png,0000000001.png,1,0.1035,False,False,0.07603607326745987,0.8735837936401367,0.49964866042137146,0.07799730449914932,,,,,,,0.0,0.0,0.050342408203349946
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,1,1,2,0000000001.png,0000000002.png,1,0.1035,False,True,0.10459313541650772,0.8168583512306213,0.6023876667022705,0.10942087322473526,0.07799730449914932,0.07605593651533127,0.02489019327378458,0.06547671556472778,0.25,0.25,0.0,0.2757824079148836,0.05862104058506349
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,2,2,3,0000000002.png,0000000003.png,1,0.1035,False,True,0.08386188745498657,0.8365927338600159,0.5879839062690735,0.08856498450040817,0.10942087322473526,0.10442636162042618,0.04564496203618344,0.08990355581045151,0.18877550959587097,0.18877550959587097,0.0,0.3231506794367392,0.061181020010489494
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,3,3,4,0000000003.png,0000000004.png,1,0.1035,False,True,0.08861864358186722,0.8002556562423706,0.6410039067268372,0.09268239885568619,0.08856498450040817,0.08472807705402374,0.04332307477981602,0.07224933058023453,0.18877550959587097,0.18877550959587097,0.0,0.2910808771699435,0.052688289302268106
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,4,4,5,0000000004.png,0000000005.png,1,0.1035,False,True,0.06887616962194443,0.8307364583015442,0.5796623826026917,0.07182956486940384,0.09268239885568619,0.07876823097467422,0.15012740339918715,0.06627785414457321,0.3622449040412903,0.36858493089675903,0.0,0.28065678501449814,0.04969420754769942
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,5,5,6,0000000005.png,0000000006.png,1,0.1035,False,True,0.06106622889637947,0.8572807908058167,0.519040584564209,0.06177518144249916,0.07182956486940384,0.06872899830341339,0.04316560418579327,0.05857082083821297,0.2448979616165161,0.2448979616165161,0.0,0.2621621603195499,0.047437680692196664
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,6,6,7,0000000006.png,0000000007.png,1,0.1035,False,True,0.05606068670749664,0.862395167350769,0.5375742316246033,0.0585758350789547,0.06177518144249916,0.058313339948654175,0.056039357764854095,0.05259326845407486,0.2142857164144516,0.2142857164144516,0.0,0.2414815519841095,0.048253487989314
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,7,7,8,0000000007.png,0000000008.png,1,0.1035,False,True,0.07229916751384735,0.8292629718780518,0.5628061294555664,0.07368078082799911,0.0585758350789547,0.055999383330345154,0.04398489146824333,0.04844014346599579,0.2551020383834839,0.2551020383834839,0.0,0.23664188836794123,0.04481387112427233
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,8,8,9,0000000008.png,0000000009.png,1,0.1035,False,True,0.07963339984416962,0.8305182456970215,0.5647895932197571,0.08166414499282837,0.07368078082799911,0.07261144369840622,0.014513107998803147,0.061543677002191544,0.12244898080825806,0.12244898080825806,0.0,0.26946510664352485,0.05049225525923038
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,9,9,10,0000000009.png,0000000010.png,1,0.1035,False,True,0.07129136472940445,0.8395752906799316,0.5827086567878723,0.07530926167964935,0.08166414499282837,0.07642728090286255,0.06412684649335047,0.06770753115415573,0.22959183156490326,0.22959183156490326,0.0,0.276454844238372,0.0523749504938381
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,10,10,11,0000000010.png,0000000011.png,1,0.1035,False,True,0.07990626990795135,0.8164072036743164,0.5879974961280823,0.08186785876750946,0.07530926167964935,0.07164324820041656,0.048679450541253236,0.0646776482462883,0.19897958636283875,0.19897958636283875,0.0,0.26766256406232186,0.046305952531781
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,11,11,12,0000000011.png,0000000012.png,1,0.1035,False,True,0.0676373541355133,0.8439380526542664,0.5567216277122498,0.07066186517477036,0.08186785876750946,0.07537711411714554,0.07928318571023718,0.06812170147895813,0.27040815353393555,0.27040815353393555,0.0,0.27454892845747103,0.052207279493724286
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,12,12,13,0000000012.png,0000000013.png,1,0.1035,False,True,0.07454118877649307,0.8317049741744995,0.5653424859046936,0.07631371170282364,0.07066186517477036,0.06544392555952072,0.07384378550359419,0.06009017676115036,0.18877550959587097,0.19511549174785614,0.0,0.2558201039002227,0.047788454305574345
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,13,13,14,0000000013.png,0000000014.png,1,0.1035,False,True,0.07391631603240967,0.8515909314155579,0.52689129114151,0.07405053824186325,0.07631371170282364,0.07291338592767715,0.0445572060285553,0.06519967317581177,0.18367347121238708,0.18578681349754333,0.0,0.27002478761713183,0.05037398433193849
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,14,14,15,0000000014.png,0000000015.png,1,0.1035,False,True,0.08802150934934616,0.8253017663955688,0.5859476923942566,0.09168550372123718,0.07405053824186325,0.07299412786960602,0.01426607283807707,0.06689324229955673,0.06122449040412903,0.06122449040412903,0.0,0.2701742546387535,0.05532452485268454
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,15,15,16,0000000015.png,0000000016.png,1,0.1035,False,True,0.08555834740400314,0.8396645188331604,0.5490276217460632,0.08866777271032333,0.09168550372123718,0.0869041234254837,0.0521497957876842,0.07933966815471649,0.11224489659070969,0.11224489659070969,0.0,0.2947950532581639,0.05417592175137004
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,16,16,17,0000000016.png,0000000017.png,1,0.1035,False,True,0.09810368716716766,0.8209482431411743,0.589396595954895,0.10221537202596664,0.08866777271032333,0.08141051232814789,0.0818477803190663,0.07368624955415726,0.2448979616165161,0.2448979616165161,0.0,0.2853252746045255,0.05522597190666879
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,17,17,18,0000000017.png,0000000018.png,1,0.1035,False,True,0.0766577199101448,0.8595407009124756,0.5235427021980286,0.07831722497940063,0.10221537202596664,0.09759308397769928,0.04522106564454048,0.08382683992385864,0.11734693497419357,0.11946026980876923,0.0,0.31239891801621095,0.05701032582940608
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,18,18,19,0000000018.png,0000000019.png,1,0.1035,False,True,0.10086285322904587,0.8335959315299988,0.5558857917785645,0.1017996147274971,0.07831722497940063,0.0741775780916214,0.05285742553912074,0.06740693747997284,0.10204081237316132,0.10204081237316132,0.0,0.27235560962025623,0.05333678668748503
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,19,19,20,0000000019.png,0000000020.png,1,0.1035,False,True,0.11453688889741898,0.820878267288208,0.5859411954879761,0.11862939596176147,0.1017996147274971,0.10089004039764404,0.008934948646788668,0.08820502460002899,0.07653061300516129,0.07653061300516129,0.0,0.31763192597351425,0.06189792434766632
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,20,20,21,0000000020.png,0000000021.png,1,0.1035,False,True,0.08781229704618454,0.8583797216415405,0.5335789918899536,0.09178938716650009,0.11862939596176147,0.11435586214065552,0.03602423991506684,0.10520639270544052,0.09693877398967743,0.09693877398967743,0.0,0.3381654360526154,0.06220186360272491
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,21,21,22,0000000021.png,0000000022.png,1,0.1035,False,True,0.10942292213439941,0.8395352959632874,0.5454893708229065,0.11077208817005157,0.09178938716650009,0.09071102738380432,0.011748196779434799,0.08119843900203705,0.07653061300516129,0.07653061300516129,0.0,0.3011827142845424,0.058697366491180375
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,22,22,23,0000000022.png,0000000023.png,1,0.1035,False,True,0.09704151749610901,0.8531196117401123,0.5540764331817627,0.10159407556056976,0.11077208817005157,0.1058226004242897,0.044681722873759266,0.09591951966285706,0.12755101919174194,0.1338910311460495,0.0,0.3253038586065184,0.06397789538065628
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,23,23,24,0000000023.png,0000000024.png,1,0.1035,False,True,0.11404172331094742,0.828392744064331,0.5667023062705994,0.11601276695728302,0.10159407556056976,0.09997161477804184,0.01597003342542964,0.09116028249263763,0.05612244829535484,0.05612244829535484,0.0,0.31618288185485605,0.059312318432417466
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,24,24,25,0000000024.png,0000000025.png,1,0.1035,False,True,0.14179325103759766,0.8278211355209351,0.5617916584014893,0.1441359966993332,0.11601276695728302,0.11423534899950027,0.01532088238561888,0.10221374779939651,0.11224489659070969,0.1164715588092804,0.0,0.3379872024197074,0.06509497776352437
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,25,25,26,0000000025.png,0000000026.png,1,0.1035,False,True,0.18269985914230347,0.789891242980957,0.6363729238510132,0.19106584787368774,0.1441359966993332,0.1428309828042984,0.009054045657706457,0.12902773916721344,0.06632652878761292,0.06632652878761292,0.0,0.37792986492773817,0.07291068715316859
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,26,26,27,0000000026.png,0000000027.png,1,0.1035,False,True,0.22784224152565002,0.790831983089447,0.6136589050292969,0.23276744782924652,0.19106584787368774,0.18218857049942017,0.04646187412905043,0.1688675731420517,0.2448979616165161,0.2448979616165161,0.0,0.426835530971146,0.0748200994556059
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,27,27,28,0000000027.png,0000000028.png,1,0.1035,False,True,0.211229145526886,0.8116246461868286,0.6131361126899719,0.22674190998077393,0.23276744782924652,0.22743116319179535,0.022925390501191394,0.21151386201381683,0.12244898080825806,0.12244898080825806,0.0,0.47689743466682155,0.08643258870788192
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,28,28,29,0000000028.png,0000000029.png,1,0.1035,False,True,0.17996148765087128,0.8288657069206238,0.5821568369865417,0.19272425770759583,0.22674190998077393,0.21790526807308197,0.03897224782326848,0.2083785980939865,0.1071428582072258,0.11136952042579651,0.0,0.466803243426052,0.08477712895958017
aligned_temporal_difference,train,2011_09_26/2011_09_26_drive_0005_sync,29,29,30,0000000029.png,0000000030.png,1,0.1035,False,True,0.19520798325538635,0.8054976463317871,0.6178264021873474,0.20656220614910126,0.19272425770759583,0.18654237687587738,0.03207629856900364,0.17834308743476868,0.18877550959587097,0.18877550959587097,0.0,0.4319055184596249,0.07950664630115957
