condition,split,drive,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,horizon_frames,horizon_seconds,temporal_fusion_applied,alignment_applied,feature_mse,feature_cosine,normalized_feature_error,copy_mse,raw_previous_to_current_mse,aligned_previous_to_current_mse,alignment_mse_reduction_fraction,alignment_patch_matching_mse,nonzero_motion_fraction,mean_motion_magnitude_cells,fusion_residual_rms,predicted_residual_rms
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,0,0,1,0000000000.png,0000000001.png,1,0.1035,False,False,0.07579322904348373,0.8736377358436584,0.49885013699531555,0.07799730449914932,,,,,,,0.0,0.061226793799475134
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,1,1,2,0000000001.png,0000000002.png,1,0.1035,True,True,0.10202328860759735,0.8169692754745483,0.5949413180351257,0.10942087322473526,0.07799730449914932,0.07605593651533127,0.02489019327378458,0.06547671556472778,0.25,0.25,0.04465642796251382,0.058750481397477614
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,2,2,3,0000000002.png,0000000003.png,1,0.1035,True,True,0.08098483085632324,0.8375653028488159,0.5778098702430725,0.08856498450040817,0.10942087322473526,0.10442636162042618,0.04564496203618344,0.08990355581045151,0.18877550959587097,0.18877550959587097,0.04420918608919222,0.05774942473890358
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,3,3,4,0000000003.png,0000000004.png,1,0.1035,True,True,0.08619608730077744,0.8006248474121094,0.632181704044342,0.09268239885568619,0.08856498450040817,0.08472807705402374,0.04332307477981602,0.07224933058023453,0.18877550959587097,0.18877550959587097,0.04112984868273349,0.05125901250563965
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,4,4,5,0000000004.png,0000000005.png,1,0.1035,True,True,0.06837714463472366,0.8289808034896851,0.5775586366653442,0.07182956486940384,0.09268239885568619,0.07876823097467422,0.15012740339918715,0.06627785414457321,0.3622449040412903,0.36858493089675903,0.03669671516040119,0.047498402113766255
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,5,5,6,0000000005.png,0000000006.png,1,0.1035,True,True,0.06068258360028267,0.8569684028625488,0.5174076557159424,0.06177518144249916,0.07182956486940384,0.06872899830341339,0.04316560418579327,0.05857082083821297,0.2448979616165161,0.2448979616165161,0.035882167486244336,0.04658119942664146
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,6,6,7,0000000006.png,0000000007.png,1,0.1035,True,True,0.055255141109228134,0.8615027666091919,0.5336980223655701,0.0585758350789547,0.06177518144249916,0.058313339948654175,0.056039357764854095,0.05259326845407486,0.2142857164144516,0.2142857164144516,0.03609858805827676,0.04839360975058953
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,7,7,8,0000000007.png,0000000008.png,1,0.1035,True,True,0.07209953665733337,0.828513503074646,0.5620285868644714,0.07368078082799911,0.0585758350789547,0.055999383330345154,0.04398489146824333,0.04844014346599579,0.2551020383834839,0.2551020383834839,0.03495909456904573,0.04520848828957923
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,8,8,9,0000000008.png,0000000009.png,1,0.1035,True,True,0.07929927110671997,0.8298348188400269,0.563603401184082,0.08166414499282837,0.07368078082799911,0.07261144369840622,0.014513107998803147,0.061543677002191544,0.12244898080825806,0.12244898080825806,0.03573093817039586,0.0496200664518728
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,9,9,10,0000000009.png,0000000010.png,1,0.1035,True,True,0.0698208212852478,0.8397312760353088,0.5766675472259521,0.07530926167964935,0.08166414499282837,0.07642728090286255,0.06412684649335047,0.06770753115415573,0.22959183156490326,0.22959183156490326,0.03804773162782163,0.051016359579513865
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,10,10,11,0000000010.png,0000000011.png,1,0.1035,True,True,0.07938817143440247,0.8154832720756531,0.586088240146637,0.08186785876750946,0.07530926167964935,0.07164324820041656,0.048679450541253236,0.0646776482462883,0.19897958636283875,0.19897958636283875,0.03571628018567299,0.045622682079785586
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,11,11,12,0000000011.png,0000000012.png,1,0.1035,True,True,0.0673474669456482,0.8423687219619751,0.5555272698402405,0.07066186517477036,0.08186785876750946,0.07537711411714554,0.07928318571023718,0.06812170147895813,0.27040815353393555,0.27040815353393555,0.035102566488087864,0.05050447119556841
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,12,12,13,0000000012.png,0000000013.png,1,0.1035,True,True,0.07381582260131836,0.8315101265907288,0.5625850558280945,0.07631371170282364,0.07066186517477036,0.06544392555952072,0.07384378550359419,0.06009017676115036,0.18877550959587097,0.19511549174785614,0.0356897172230738,0.04836656092205689
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,13,13,14,0000000013.png,0000000014.png,1,0.1035,True,True,0.0737541988492012,0.8511878252029419,0.5263131856918335,0.07405053824186325,0.07631371170282364,0.07291338592767715,0.0445572060285553,0.06519967317581177,0.18367347121238708,0.18578681349754333,0.03680707278191513,0.04990373374361761
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,14,14,15,0000000014.png,0000000015.png,1,0.1035,True,True,0.086860790848732,0.8250726461410522,0.5820714831352234,0.09168550372123718,0.07405053824186325,0.07299412786960602,0.01426607283807707,0.06689324229955673,0.06122449040412903,0.06122449040412903,0.040006342171816256,0.05445395353759638
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,15,15,16,0000000015.png,0000000016.png,1,0.1035,True,True,0.08609339594841003,0.8371455669403076,0.5507416725158691,0.08866777271032333,0.09168550372123718,0.0869041234254837,0.0521497957876842,0.07933966815471649,0.11224489659070969,0.11224489659070969,0.03876135947779766,0.052339321365471314
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,16,16,17,0000000016.png,0000000017.png,1,0.1035,True,True,0.09731312841176987,0.8200386762619019,0.5870169997215271,0.10221537202596664,0.08866777271032333,0.08141051232814789,0.0818477803190663,0.07368624955415726,0.2448979616165161,0.2448979616165161,0.0397190133543948,0.055038989397329346
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,17,17,18,0000000017.png,0000000018.png,1,0.1035,True,True,0.07612694054841995,0.8584127426147461,0.5217270255088806,0.07831722497940063,0.10221537202596664,0.09759308397769928,0.04522106564454048,0.08382683992385864,0.11734693497419357,0.11946026980876923,0.04033166830947914,0.05534949848685283
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,18,18,19,0000000018.png,0000000019.png,1,0.1035,True,True,0.09995973855257034,0.834077000617981,0.5533915162086487,0.1017996147274971,0.07831722497940063,0.0741775780916214,0.05285742553912074,0.06740693747997284,0.10204081237316132,0.10204081237316132,0.039476554589390596,0.05370556414342268
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,19,19,20,0000000019.png,0000000020.png,1,0.1035,True,True,0.11405177414417267,0.8197081089019775,0.5846990346908569,0.11862939596176147,0.1017996147274971,0.10089004039764404,0.008934948646788668,0.08820502460002899,0.07653061300516129,0.07653061300516129,0.04170902419440053,0.059343633711381044
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,20,20,21,0000000020.png,0000000021.png,1,0.1035,True,True,0.08696887642145157,0.857111930847168,0.5310103297233582,0.09178938716650009,0.11862939596176147,0.11435586214065552,0.03602423991506684,0.10520639270544052,0.09693877398967743,0.09693877398967743,0.04368089359931598,0.05958451039325947
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,21,21,22,0000000021.png,0000000022.png,1,0.1035,True,True,0.10968629270792007,0.8382455706596375,0.5461454391479492,0.11077208817005157,0.09178938716650009,0.09071102738380432,0.011748196779434799,0.08119843900203705,0.07653061300516129,0.07653061300516129,0.04415575607864521,0.058934543888688073
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,22,22,23,0000000022.png,0000000023.png,1,0.1035,True,True,0.09529206156730652,0.8527122735977173,0.549059271812439,0.10159407556056976,0.11077208817005157,0.1058226004242897,0.044681722873759266,0.09591951966285706,0.12755101919174194,0.1338910311460495,0.04522472123338362,0.06311238800245908
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,23,23,24,0000000023.png,0000000024.png,1,0.1035,True,True,0.11311865597963333,0.8280805945396423,0.5644041895866394,0.11601276695728302,0.10159407556056976,0.09997161477804184,0.01597003342542964,0.09116028249263763,0.05612244829535484,0.05612244829535484,0.04584830925167591,0.0593292879141842
aligned_temporal_fusion,train,2011_09_26/2011_09_26_drive_0005_sync,24,24,25,0000000024.png,0000000025.png,1,0.1035,True,True,0.14233805239200592,0.82667475938797,0.5628699064254761,0.1441359966993332,0.11601276695728302,0.11423534899950027,0.01532088238561888,0.10221374779939651,0.11224489659070969,0.1164715588092804,0.04614325931591217,0.06366299614110967
