condition,direction_cosine_to_oracle_residual,feature_recovery_fraction,gain_vs_blur,mIoU,observation_mse_to_clean_z4,semantic_mse_to_clean_z4,variant
Blur-Mid,,,0.0,0.49539451635774345,,,blur_host
Blur-Mid,0.04862658898951583,6.273624881358852e-05,-1.3330718633408623e-06,0.4953931832858801,0.0002585564734072315,0.0002585402525439835,semantic_no_history
Blur-Mid,0.10262648032566683,0.006605296877431721,0.0008578692372172569,0.4962523855949607,0.0002585564734072315,0.00025684863114079496,semantic_continuous
Blur-Mid,,,0.05825670906596325,0.5536512254237067,,,oracle_z4_writeback
Blur-Mid,,,0.16460877357764891,0.6600032899353924,,,clean_c4_oracle
Blur-Mid,,,0.17040638519382323,0.6658009015515667,,,clean_host
Blur-Max,,,0.0,0.3917100445495763,,,blur_host
Blur-Max,0.03785171964159524,4.236063294693615e-05,-2.056805706973641e-06,0.39170798774386933,0.0003751491434096505,0.00037513325185448615,semantic_no_history
Blur-Max,0.07368221848535846,0.0040528395423595764,0.0003877349662053664,0.3920977795157817,0.0003751491434096505,0.00037362872412695754,semantic_continuous
Blur-Max,,,0.09787698905827147,0.4895870336078478,,,oracle_z4_writeback
Blur-Max,,,0.26536348147050864,0.657073526020085,,,clean_c4_oracle
Blur-Max,,,0.2740908570019904,0.6658009015515667,,,clean_host
