condition,space,stage,count,mse,relative_mse,cosine
Blur-Mid,backbone,c1,2686,0.014857518726270521,0.36042024122803495,0.8280786357304096
Blur-Mid,backbone,c2,2686,0.005397507406310723,0.5036710702652559,0.7481711957983711
Blur-Mid,backbone,c3,2686,0.001235255544441936,0.6139540413615875,0.6887883217762587
Blur-Mid,backbone,c4,2686,0.007400360501219456,0.7880895073195393,0.5432989147844727
Blur-Mid,unified,z1,2686,0.0004511122626336728,0.003316329822242785,0.9989089093053864
Blur-Mid,unified,z2,2686,0.00014005367054166417,0.001229594105111513,0.9995926216033885
Blur-Mid,unified,z3,2686,7.413113078246407e-05,0.0007474556680804217,0.9997028320783656
Blur-Mid,unified,z4,2686,0.00025849310678276643,0.004145158405284724,0.99852841005162
Blur-Max,backbone,c1,2686,0.017765637145641906,0.4309412726241611,0.7956638405639026
Blur-Max,backbone,c2,2686,0.006456757257834676,0.6022209657858228,0.7033500213811226
Blur-Max,backbone,c3,2686,0.0014879485562860504,0.7392466930811128,0.6283081746420928
Blur-Max,backbone,c4,2686,0.008822101491835587,0.9380335680582012,0.4494110162433012
Blur-Max,unified,z1,2686,0.0005275604283961218,0.0038783264123953124,0.9986741731438455
Blur-Max,unified,z2,2686,0.00015942350966273894,0.0013996529323485763,0.9995270733813785
Blur-Max,unified,z3,2686,8.829779858269553e-05,0.0008902938424152464,0.9996410355759661
Blur-Max,unified,z4,2686,0.0003750241073586545,0.006028986377327494,0.9980018688774961
