condition,variant,mIoU,gain_vs_blur,recovery_fraction_of_clean_gap
Blur-Mid,clean,0.665796407122072,0.1703604223337078,1.0
Blur-Mid,blur,0.4954359847883642,0.0,0.0
Blur-Mid,clean_c1,0.5036139199937537,0.008177935205389508,0.048003727000454896
Blur-Mid,clean_c4,0.6599944909552867,0.16455850616692252,0.965943286079555
Blur-Mid,clean_c1_c4,0.665796407122072,0.1703604223337078,1.0
Blur-Max,clean,0.665796407122072,0.27404969416449937,1.0
Blur-Max,blur,0.39174671295757263,0.0,0.0
Blur-Max,clean_c1,0.4020863271684726,0.010339614210899961,0.03772897555103115
Blur-Max,clean_c4,0.6570669210850753,0.2653202081275026,0.9681463390659475
Blur-Max,clean_c1_c4,0.665796407122072,0.27404969416449937,1.0
