condition,space,stage,count,mse,relative_mse,cosine
Blur-Mid,backbone,c1,32,0.015402682503918186,0.36798935446311837,0.8242634311318398
Blur-Mid,backbone,c2,32,0.005466732109198347,0.5049361891298848,0.7466378659009933
Blur-Mid,backbone,c3,32,0.001257391821127385,0.6081211987292815,0.6877989545464516
Blur-Mid,backbone,c4,32,0.007474496102076955,0.7747872435809685,0.5398697350174189
Blur-Mid,unified,z1,32,0.00045620118726219516,0.0033542116827121435,0.9988742768764496
Blur-Mid,unified,z2,32,0.00014125482539384393,0.0012400797597165896,0.9995860327035189
Blur-Mid,unified,z3,32,7.999443369044457e-05,0.0008064473268646175,0.9996788110584021
Blur-Mid,unified,z4,32,0.00023144069200498052,0.0037124496943444097,0.9986858163028955
Blur-Max,backbone,c1,32,0.01839486591052264,0.4394436636726908,0.7913048435002565
Blur-Max,backbone,c2,32,0.006564607203472406,0.6063255583593725,0.7004561759531498
Blur-Max,backbone,c3,32,0.0015314845040848013,0.740778775731862,0.6229532156139612
Blur-Max,backbone,c4,32,0.009053919464349747,0.9384712303321008,0.4408743176609278
Blur-Max,unified,z1,32,0.000531072744706762,0.003904699024491785,0.9986341055482626
Blur-Max,unified,z2,32,0.00016071230265879421,0.0014108975703831985,0.9995204918086529
Blur-Max,unified,z3,32,9.499463430984179e-05,0.0009576686477885883,0.9996129926294088
Blur-Max,unified,z4,32,0.00033393901412637206,0.0053562579461591975,0.9981701597571373
