condition,variant,mIoU,gain_vs_blur,recovery_fraction_of_clean_gap
Blur-Mid,clean,0.3785149834301851,0.011599390553765354,1.0
Blur-Mid,blur,0.3669155928764197,0.0,0.0
Blur-Mid,clean_c1,0.37434615191227266,0.007430559035852935,0.6405990902203782
Blur-Mid,clean_c4,0.3741010886528086,0.007185495776388884,0.6194718371696134
Blur-Mid,clean_c1_c4,0.3785149834301851,0.011599390553765354,1.0
Blur-Max,clean,0.3785149834301851,0.05533089658841178,1.0
Blur-Max,blur,0.3231840868417733,0.0,0.0
Blur-Max,clean_c1,0.31203312979077136,-0.011150957051001942,-0.2015321951847305
Blur-Max,clean_c4,0.37174198493541877,0.04855789809364547,0.8775910221526246
Blur-Max,clean_c1_c4,0.3785149834301851,0.05533089658841178,1.0
