condition,count,decoded_mIoU,mode,observation_cos_mean,observation_cos_z1,observation_cos_z4,observation_mse_mean,observation_mse_z1,observation_mse_z4,position_bin,semantic_cos_gain_vs_observation,semantic_cos_mean,semantic_cos_z1,semantic_cos_z4,semantic_mse_mean,semantic_mse_ratio_vs_observation,semantic_mse_z1,semantic_mse_z4
Clean,2972,0.3162107601346172,continuous,1.0,1.0,1.0,0.0,0.0,0.0,overall,-0.0514115465361209,0.9485884534638791,0.973504833365674,0.9236720735620843,0.008447984017197966,8447984017.197966,0.007557604114542569,0.009338363919853362
Clean,279,0.30758988528394965,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,-0.04221816825610336,0.9577818317438966,0.9807279084318428,0.9348357550559505,0.006729875744644245,6729875744.644245,0.005419684403766227,0.008040067085522264
Clean,288,0.31505207075924163,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,-0.05046854840798509,0.9495314515920149,0.9752508648153808,0.923812038368649,0.00824137349263765,8241373492.63765,0.007018976958028765,0.009463770027246533
Clean,554,0.34968427555888276,continuous,1.0,1.0,1.0,0.0,0.0,0.0,64-127,-0.05224414659321097,0.947755853406789,0.9731206967081835,0.9223910101053947,0.008601736259270151,8601736259.270151,0.007661734905181325,0.009541737613358975
Clean,1851,0.30516818073633784,continuous,1.0,1.0,1.0,0.0,0.0,0.0,128+,-0.052694785633581764,0.9473052143664182,0.9722594074916994,0.922351021241137,0.00869308250288563,8693082502.88563,0.007932491074223122,0.00945367393154814
Clean,2972,0.32813566384479503,reset8,1.0,1.0,1.0,0.0,0.0,0.0,overall,-0.03416323487322226,0.9658367651267777,0.9838147241807722,0.9478588060727832,0.0054800119525207705,5480011952.520771,0.004550220880690024,0.006409803024351517
Clean,279,0.312722807256148,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,-0.033719298873750914,0.9662807011262491,0.9839974496526958,0.9485639525998023,0.005437285214575762,5437285214.575762,0.004494724301187368,0.0063798461279641555
Clean,288,0.3240017332102223,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,-0.03410920097182191,0.9658907990281781,0.9837776635669999,0.9480039344893562,0.005527849356035909,5527849356.035909,0.004561082146311592,0.006494616565760225
Clean,554,0.35990830829871023,reset8,1.0,1.0,1.0,0.0,0.0,0.0,64-127,-0.03415538456680978,0.9658446154331902,0.9838545474119565,0.947834683454424,0.005488943520829162,5488943520.829163,0.004536370015518222,0.006441517026140102
Clean,1851,0.31947609092526735,reset8,1.0,1.0,1.0,0.0,0.0,0.0,128+,-0.03424090584956396,0.965759094150436,0.9837810294103906,0.9477371588904815,0.005476335830873795,5476335830.873795,0.004561041453616771,0.00639163020813082
Blur-Mid,2972,0.28625937396922513,continuous,0.9988419649718908,0.999013906592957,0.9986700233508248,0.00032065949230359285,0.0004077010556642144,0.0002336179289429713,overall,-0.050362307031815656,0.9484796579400752,0.9738951637879676,0.9230641520921827,0.008523330698087486,26.580628057683686,0.007482872992123491,0.00956378840405148
