condition,frame_index,mode,observation_cos_mean,observation_cos_z1,observation_cos_z4,observation_mse_mean,observation_mse_z1,observation_mse_z4,position_bin,semantic_cos_mean,semantic_cos_z1,semantic_cos_z4,semantic_mse_mean,semantic_mse_z1,semantic_mse_z4,sequence
Clean,1,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9733139276504517,0.9845929741859436,0.9620348811149597,0.004576119128614664,0.004410404246300459,0.004741834010928869,0002
Clean,1,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9733139276504517,0.9845929741859436,0.9620348811149597,0.004576119128614664,0.004410404246300459,0.004741834010928869,0002
Clean,2,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9702139794826508,0.9844891428947449,0.9559388160705566,0.004947910318151116,0.004409516230225563,0.00548630440607667,0002
Clean,2,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9702139794826508,0.9844891428947449,0.9559388160705566,0.004947910318151116,0.004409516230225563,0.00548630440607667,0002
Clean,3,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9671701490879059,0.9838430881500244,0.9504972100257874,0.005355218658223748,0.004586073104292154,0.006124364212155342,0002
Clean,3,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9671701490879059,0.9838430881500244,0.9504972100257874,0.005355218658223748,0.004586073104292154,0.006124364212155342,0002
Clean,4,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9653221964836121,0.9834250211715698,0.9472193717956543,0.00559284258633852,0.004701947793364525,0.006483737379312515,0002
Clean,4,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9653221964836121,0.9834250211715698,0.9472193717956543,0.00559284258633852,0.004701947793364525,0.006483737379312515,0002
Clean,5,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9638012945652008,0.9831064343452454,0.9444961547851562,0.005817644763737917,0.004793982487171888,0.0068413070403039455,0002
Clean,5,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9638012945652008,0.9831064343452454,0.9444961547851562,0.005817644763737917,0.004793982487171888,0.0068413070403039455,0002
Clean,6,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9625059962272644,0.9827063083648682,0.9423056840896606,0.006006189621984959,0.004894708748906851,0.0071176704950630665,0002
