drive,condition,replicate,stream_index,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,phase,disturbance_index,classification_included,classification_label,current_blur_sigma,future_blur_sigma,absolute_sigma_change,prediction_error_l2,prediction_error_rms,prediction_error_l2_ema,prediction_error_cosine_previous,prediction_error_temporal_variance,temporal_variance_window_count
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,0,0,0,1,0000000000.png,0000000001.png,baseline,,False,0,0.0,0.0,0.0,87.1494140625,0.27510689261859056,87.1494140625,,0.0,1
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,1,1,1,2,0000000001.png,0000000002.png,baseline,,False,0,0.0,0.0,0.0,102.43739318847656,0.32336686141570514,90.31402574157714,-0.10990451276302338,0.04995105788111687,2
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,2,2,2,3,0000000002.png,0000000003.png,baseline,,False,0,0.0,0.0,0.0,91.60875701904297,0.28918379738842465,90.58203511601258,-0.12330249696969986,0.06430249661207199,3
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,3,3,3,4,0000000003.png,0000000004.png,baseline,,False,0,0.0,0.0,0.0,94.25305938720703,0.2975311431892587,91.34193714014984,-0.11180392652750015,0.0719248428940773,4
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,4,4,4,5,0000000004.png,0000000005.png,baseline,,False,0,0.0,0.0,0.0,83.43180084228516,0.2633713882046556,89.70453892649185,-0.16605570912361145,0.07283341884613037,5
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,5,5,5,6,0000000005.png,0000000006.png,baseline,,False,0,0.0,0.0,0.0,78.34158325195312,0.2473029447478169,87.35240710186234,-0.15512755513191223,0.07162822037935257,6
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,6,6,6,7,0000000006.png,0000000007.png,baseline,,False,0,0.0,0.0,0.0,75.0931396484375,0.23704852497013648,84.8147387390034,-0.21802911162376404,0.07059121131896973,7
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,7,7,7,8,0000000007.png,0000000008.png,baseline,,False,0,0.0,0.0,0.0,85.4034194946289,0.2695952629700445,84.93659565541788,-0.17778697609901428,0.07071372121572495,8
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,8,8,8,9,0000000008.png,0000000009.png,baseline,,False,0,0.0,0.0,0.0,89.62490844726562,0.2829213417694128,85.90707640333036,-0.2805962562561035,0.07119147479534149,8
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,9,9,9,10,0000000009.png,0000000010.png,baseline,,False,0,0.0,0.0,0.0,84.6616439819336,0.26725366509335785,85.64927189210124,-0.24913887679576874,0.06799120455980301,8
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,10,10,10,11,0000000010.png,0000000011.png,baseline,,False,0,0.0,0.0,0.0,89.69368743896484,0.2831384387626847,86.486465910302,-0.17265774309635162,0.06773161888122559,8
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,11,11,11,12,0000000011.png,0000000012.png,baseline,,False,0,0.0,0.0,0.0,82.7519302368164,0.2612252065538555,85.71341702589048,-0.3526065945625305,0.06560254096984863,8
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,12,12,12,13,0000000012.png,0000000013.png,baseline,,False,0,0.0,0.0,0.0,86.64775085449219,0.2735232763628515,85.90682412841105,-0.21742621064186096,0.0658465176820755,8
