drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_blur_sigma,mean_absolute_sigma_change,prediction_error_l2,prediction_error_l2_ema,prediction_error_cosine_previous,prediction_error_temporal_variance
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,0,0,8,1,0.75,0.09375,116.6068754196167,127.84567640106278,-0.19080600421875715,0.16310320049524307
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,1,8,16,1,0.75,0.0,110.23890018463135,112.42764283799778,-0.14439951395615935,0.11290383711457253
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,2,16,24,1,1.125,0.09375,87.56648540496826,101.37342710085201,-0.18499107379466295,0.10230732709169388
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,3,24,32,1,1.5,0.0,66.51304054260254,74.7979846945107,-0.16171870927792042,0.050876216031610966
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,4,32,40,1,1.5,0.0,67.63628149032593,67.54409946462437,-0.14217992406338453,0.04099504742771387
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,5,40,48,1,2.25,0.09375,73.51352596282959,71.7819556552362,-0.16166955884546041,0.04904163395985961
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,6,48,56,1,2.25,0.0,76.91571998596191,74.53659238979323,-0.10670128557831049,0.051739991176873446
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,7,56,64,1,2.625,0.09375,90.85080528259277,85.42509577182497,-0.095572782040108,0.06847330275923014
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,8,64,72,1,3.0,0.0,89.39651012420654,89.9071870415529,-0.06664610747247934,0.07816202472895384
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,9,72,80,1,3.0,0.0,74.78818225860596,79.38035816800094,-0.0009236683836206794,0.05814812006428838
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,0,0,8,1,1.5,0.1875,110.31414127349854,126.27196269038934,-0.19068235345184803,0.17321658041328192
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,1,8,16,1,1.5,0.0,99.68093395233154,103.1207900206877,-0.14921274781227112,0.09135073982179165
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,2,16,24,1,1.875,0.09375,77.8886046409607,89.73938611099867,-0.19995009433478117,0.07940701674669981
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,3,24,32,1,2.25,0.0,64.38371086120605,69.59587086048792,-0.1675134594552219,0.043152887374162674
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,4,32,40,1,2.25,0.0,66.42069292068481,65.8958193780293,-0.1518351174890995,0.03962350729852915
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,5,40,48,1,3.0,0.09375,71.79381370544434,69.8061547602148,-0.15901122335344553,0.046044891234487295
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,6,48,56,1,3.0,0.0,74.8848762512207,73.04377915756186,-0.10973487189039588,0.0499348952434957
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,7,56,64,1,1.875,0.28125,96.03103351593018,88.00206137211579,-0.16197941079735756,0.074831900652498
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,8,64,72,1,0.75,0.0,90.01271057128906,91.57695299146948,-0.13141670497134328,0.08497876208275557
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,9,72,80,1,0.75,0.0,88.36960124969482,88.1461823132793,-0.1093917153775692,0.07217270974069834
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,0,0,8,1,2.25,0.28125,106.43483543395996,125.26252892619507,-0.18965800385922194,0.18145656306296587
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,1,8,16,1,2.25,0.0,101.82247734069824,102.36873539130775,-0.1725860466249287,0.08819714281708002
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,2,16,24,1,2.625,0.09375,75.717613697052,88.72013284212802,-0.16392838768661022,0.07843425450846553
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,3,24,32,1,3.0,0.0,62.9610390663147,67.55365147275877,-0.17435756605118513,0.039601866621524096
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,4,32,40,1,3.0,0.0,66.15939903259277,65.46288066013473,-0.17160256579518318,0.039317789021879435
