model,corruption,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,representation_normalized_l2
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,0,baseline,0,0,0000000000.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,0,baseline,0,0,0000000000.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,0,baseline,0,0,0000000000.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,0,baseline,0,0,0000000000.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,0,baseline,0,0,0000000000.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,1,baseline,1,1,0000000001.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,1,baseline,1,1,0000000001.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,1,baseline,1,1,0000000001.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,1,baseline,1,1,0000000001.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,1,baseline,1,1,0000000001.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,2,baseline,2,2,0000000002.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,2,baseline,2,2,0000000002.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,2,baseline,2,2,0000000002.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,2,baseline,2,2,0000000002.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,2,baseline,2,2,0000000002.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,3,baseline,3,3,0000000003.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,3,baseline,3,3,0000000003.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,3,baseline,3,3,0000000003.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,3,baseline,3,3,0000000003.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,3,baseline,3,3,0000000003.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,4,baseline,4,4,0000000004.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,4,baseline,4,4,0000000004.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,4,baseline,4,4,0000000004.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,4,baseline,4,4,0000000004.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,4,baseline,4,4,0000000004.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,3,0.0
