stream_index,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,current_phase,future_phase,current_severity,future_severity,history_utilization_applicable,clean_prediction_error_mean,corrupted_prediction_error_mean,clean_prediction_error_mse,corrupted_prediction_error_mse,clean_prediction_error_rms,corrupted_prediction_error_rms,clean_temporal_error_input_mean,corrupted_temporal_error_input_mean,clean_temporal_error_input_rms,corrupted_temporal_error_input_rms,clean_temporal_error_state_mean,corrupted_temporal_error_state_mean,clean_temporal_error_state_rms,corrupted_temporal_error_state_rms,clean_feature_mse,corrupted_feature_mse,clean_copy_current_feature_mse,corrupted_copy_current_feature_mse,clean_current_feature_rms,corrupted_current_feature_rms,clean_history_input_rms,corrupted_history_input_rms,clean_history_to_feature_rms_ratio,corrupted_history_to_feature_rms_ratio,clean_predicted_delta_rms,corrupted_predicted_delta_rms,clean_zero_history_predicted_delta_rms,corrupted_zero_history_predicted_delta_rms,clean_history_contribution_rms,corrupted_history_contribution_rms,clean_history_contribution_to_delta_rms_ratio,corrupted_history_contribution_to_delta_rms_ratio,clean_zero_history_feature_mse,corrupted_zero_history_feature_mse,clean_history_feature_mse_change,corrupted_history_feature_mse_change,signed_excess_feature_mse,absolute_excess_feature_mse,positive_excess_feature_mse
0,159,159,160,0000000159.png,0000000160.png,baseline,baseline,0.0,0.0,True,0.007707403972744942,0.007707403972744942,0.09357034415006638,0.09357034415006638,0.3058927003870252,0.3058927003870252,0.0,0.0,0.0,0.0,0.0015954326372593641,0.0015954326372593641,0.06331979025378885,0.06331979025378885,0.09357034415006638,0.09357034415006638,0.0926172062754631,0.0926172062754631,0.6421167172222075,0.6421167172222075,0.0,0.0,0.0,0.0,0.053696604463532575,0.053696604463532575,0.053696604463532575,0.053696604463532575,0.0,0.0,0.0,0.0,0.09357034415006638,0.09357034415006638,0.0,0.0,0.0,0.0,0.0
1,160,160,161,0000000160.png,0000000161.png,baseline,baseline,0.0,0.0,True,-0.0056184339337050915,-0.0056184339337050915,0.05909470468759537,0.05909470468759537,0.24309402437656785,0.24309402437656785,0.0015954326372593641,0.0015954326372593641,0.06331979025378885,0.06331979025378885,0.00010216222290182486,0.00010216222290182486,0.06719923582266957,0.06719923582266957,0.05909470468759537,0.05909470468759537,0.05752689763903618,0.05752689763903618,0.6883178528006301,0.6883178528006301,0.06331979025378885,0.06331979025378885,0.09199207894456474,0.09199207894456474,0.06275243370377684,0.06275243370377684,0.06187792672655362,0.06187792672655362,0.009474465155064154,0.009474465155064154,0.15098163682046836,0.15098163682046836,0.05907709151506424,0.05907709151506424,1.761317253112793e-05,1.761317253112793e-05,0.0,0.0,0.0
2,161,161,162,0000000161.png,0000000162.png,baseline,baseline,0.0,0.0,True,0.007503619883209467,0.007503619883209467,0.05278487876057625,0.05278487876057625,0.22974960013148282,0.22974960013148282,0.00010216222290182486,0.00010216222290182486,0.06719923582266957,0.06719923582266957,0.0016342640155926347,0.0016342640155926347,0.07786751875027584,0.07786751875027584,0.05278487876057625,0.05278487876057625,0.0495016984641552,0.0495016984641552,0.653744911699205,0.653744911699205,0.06719923582266957,0.06719923582266957,0.10279121813431208,0.10279121813431208,0.06038164466200417,0.06038164466200417,0.058992489436607926,0.058992489436607926,0.010149672546493118,0.010149672546493118,0.1680920187468811,0.1680920187468811,0.05265326425433159,0.05265326425433159,0.00013161450624465942,0.00013161450624465942,0.0,0.0,0.0
3,162,162,163,0000000162.png,0000000163.png,baseline,baseline,0.0,0.0,True,0.007632520515471697,0.007632520515471697,0.06056123599410057,0.06056123599410057,0.24609192590188847,0.24609192590188847,0.0016342640155926347,0.0016342640155926347,0.07786751875027584,0.07786751875027584,0.002875903155654669,0.002875903155654669,0.08654762289557763,0.08654762289557763,0.06056123599410057,0.06056123599410057,0.057532086968421936,0.057532086968421936,0.6946543246578941,0.6946543246578941,0.07786751875027584,0.07786751875027584,0.11209534870257133,0.11209534870257133,0.06364242086000374,0.06364242086000374,0.061939621863265994,0.061939621863265994,0.011901405521593078,0.011901405521593078,0.18700428677552947,0.18700428677552947,0.06041277199983597,0.06041277199983597,0.00014846399426460266,0.00014846399426460266,0.0,0.0,0.0
4,163,163,164,0000000163.png,0000000164.png,baseline,baseline,0.0,0.0,True,0.006066903006285429,0.006066903006285429,0.07596743851900101,0.07596743851900101,0.27562191226207144,0.27562191226207144,0.002875903155654669,0.002875903155654669,0.08654762289557763,0.08654762289557763,0.0035364399664103985,0.0035364399664103985,0.09289823971715187,0.09289823971715187,0.07596743851900101,0.07596743851900101,0.07350744307041168,0.07350744307041168,0.7353172344893506,0.7353172344893506,0.08654762289557763,0.08654762289557763,0.11770106674526895,0.11770106674526895,0.07030045220684412,0.07030045220684412,0.06821494512392624,0.06821494512392624,0.013327920633427089,0.013327920633427089,0.18958513373729827,0.18958513373729827,0.07578132301568985,0.07578132301568985,0.00018611550331115723,0.00018611550331115723,0.0,0.0,0.0
5,164,164,165,0000000164.png,0000000165.png,baseline,baseline,0.0,0.0,True,-0.0018994412384927273,-0.0018994412384927273,0.09371752291917801,0.09371752291917801,0.3061331784030898,0.3061331784030898,0.0035364399664103985,0.0035364399664103985,0.09289823971715187,0.09289823971715187,0.0024112125393003225,0.0024112125393003225,0.09507355599877873,0.09507355599877873,0.09371752291917801,0.09371752291917801,0.09143027663230896,0.09143027663230896,0.751067831894896,0.751067831894896,0.09289823971715187,0.09289823971715187,0.1236882153277362,0.1236882153277362,0.07257902966583268,0.07257902966583268,0.07080296809009076,0.07080296809009076,0.01434302837100848,0.01434302837100848,0.19761945615760423,0.19761945615760423,0.09364741295576096,0.09364741295576096,7.010996341705322e-05,7.010996341705322e-05,0.0,0.0,0.0
6,165,165,166,0000000165.png,0000000166.png,baseline,baseline,0.0,0.0,True,0.0019652212504297495,0.0019652212504297495,0.09177295118570328,0.09177295118570328,0.30294050766727,0.30294050766727,0.0024112125393003225,0.0024112125393003225,0.09507355599877873,0.09507355599877873,0.0023188921622931957,0.0023188921622931957,0.09622041390756023,0.09622041390756023,0.09177295118570328,0.09177295118570328,0.08901075273752213,0.08901075273752213,0.737622123240744,0.737622123240744,0.09507355599877873,0.09507355599877873,0.12889195294342976,0.12889195294342976,0.07126124048137884,0.07126124048137884,0.06928497106842776,0.06928497106842776,0.014540071294241399,0.014540071294241399,0.2040389866359517,0.2040389866359517,0.0918767973780632,0.0918767973780632,-0.00010384619235992432,-0.00010384619235992432,0.0,0.0,0.0
7,166,166,167,0000000166.png,0000000167.png,baseline,baseline,0.0,0.0,True,0.009354932233691216,0.009354932233691216,0.10402861982584,0.10402861982584,0.3225346800358684,0.3225346800358684,0.0023188921622931957,0.0023188921622931957,0.09622041390756023,0.09622041390756023,0.003775352379307151,0.003775352379307151,0.10550136415110356,0.10550136415110356,0.10402861982584,0.10402861982584,0.10039177536964417,0.10039177536964417,0.7572887222953413,0.7572887222953413,0.09622041390756023,0.09622041390756023,0.127059087339788,0.127059087339788,0.07526278874290096,0.07526278874290096,0.07303751959534414,0.07303751959534414,0.014996223658870713,0.014996223658870713,0.19925150143051545,0.19925150143051545,0.10407275706529617,0.10407275706529617,-4.413723945617676e-05,-4.413723945617676e-05,0.0,0.0,0.0
8,167,167,168,0000000167.png,0000000168.png,baseline,baseline,0.0,0.0,True,0.008673138916492462,0.008673138916492462,0.09401543438434601,0.09401543438434601,0.30661936400747103,0.30661936400747103,0.003775352379307151,0.003775352379307151,0.10550136415110356,0.10550136415110356,0.004789194092154503,0.004789194092154503,0.11194327707095442,0.11194327707095442,0.09401543438434601,0.09401543438434601,0.08694318681955338,0.08694318681955338,0.8092678411530498,0.8092678411530498,0.10550136415110356,0.10550136415110356,0.13036643591420186,0.13036643591420186,0.08236907470026066,0.08236907470026066,0.08010931105561864,0.08010931105561864,0.016523781178498523,0.016523781178498523,0.20060661405543545,0.20060661405543545,0.0936540737748146,0.0936540737748146,0.0003613606095314026,0.0003613606095314026,0.0,0.0,0.0
9,168,168,169,0000000168.png,0000000169.png,baseline,iid_noise,0.0,1.0,True,-0.006023780442774296,-0.00786636397242546,0.08508487790822983,0.24413955211639404,0.29169312283327803,0.4941047987182416,0.004789194092154503,0.004789194092154503,0.11194327707095442,0.11194327707095442,0.002550908364355564,0.00216949381865561,0.1004440825809026,0.1145941316508795,0.08508487790822983,0.24413955211639404,0.08523032069206238,0.2521756589412689,0.8425830259078898,0.8425830259078898,0.11194327707095442,0.11194327707095442,0.13285726584669166,0.13285726584669166,0.08599270597131592,0.08599270597131592,0.08334126813434352,0.08334126813434352,0.01733560873533658,0.01733560873533658,0.20159394380634,0.20159394380634,0.0850156620144844,0.24438808858394623,6.921589374542236e-05,-0.00024853646755218506,0.15905467420816422,0.15905467420816422,0.15905467420816422
