condition,split,drive,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,horizon_frames,horizon_seconds,bootstrap_without_history,feature_mse,copy_mse,prediction_base_mse,residual_mse,feature_cosine,normalized_feature_error,predicted_residual_rms,target_residual_rms,warp_coverage_fraction,warp_collision_fraction
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,0,0,1,0000000000.png,0000000001.png,1,0.1035,True,0.07799730449914932,0.07799730449914932,0.07799730449914932,0.07799730449914932,0.8749886751174927,0.5060514807701111,0.0,0.27927997511305624,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,1,1,2,0000000001.png,0000000002.png,1,0.1035,True,0.10942087322473526,0.10942087322473526,0.10942087322473526,0.10942087322473526,0.8157296776771545,0.6161330938339233,0.0,0.330788260409488,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,2,2,3,0000000002.png,0000000003.png,1,0.1035,True,0.08856498450040817,0.08856498450040817,0.08856498450040817,0.08856498450040817,0.836250901222229,0.6042464971542358,0.0,0.2975986970744465,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,3,3,4,0000000003.png,0000000004.png,1,0.1035,True,0.09268239885568619,0.09268239885568619,0.09268239885568619,0.09268239885568619,0.7991220951080322,0.6555363535881042,0.0,0.30443784070920976,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,4,4,5,0000000004.png,0000000005.png,1,0.1035,True,0.07182956486940384,0.07182956486940384,0.07182956486940384,0.07182956486940384,0.8295137882232666,0.5919598340988159,0.0,0.2680103820179432,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,5,5,6,0000000005.png,0000000006.png,1,0.1035,True,0.06177518144249916,0.06177518144249916,0.06177518144249916,0.06177518144249916,0.8579714894294739,0.522044837474823,0.0,0.24854613544068466,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,6,6,7,0000000006.png,0000000007.png,1,0.1035,True,0.0585758350789547,0.0585758350789547,0.0585758350789547,0.0585758350789547,0.8633631467819214,0.5495010018348694,0.0,0.24202445140719708,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,7,7,8,0000000007.png,0000000008.png,1,0.1035,True,0.07368078082799911,0.07368078082799911,0.07368078082799911,0.07368078082799911,0.8282327651977539,0.5681582093238831,0.0,0.2714420395369868,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,8,8,9,0000000008.png,0000000009.png,1,0.1035,True,0.08166414499282837,0.08166414499282837,0.08166414499282837,0.08166414499282837,0.8299495577812195,0.5719456076622009,0.0,0.2857693912805015,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,9,9,10,0000000009.png,0000000010.png,1,0.1035,True,0.07530926167964935,0.07530926167964935,0.07530926167964935,0.07530926167964935,0.839277446269989,0.598904013633728,0.0,0.27442532987982243,,
