drive,corruption,condition,replicate,stream_index,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,phase,disturbance_index,classification_included,classification_label,current_severity,future_severity,future_feature_stage,error_definition,dynamic_error_definition,temporal_error_state_update_index,dynamic_formula_max_abs,instant_error_rms,simple_scalar_ema_error_rms,matched_tensor_ema_error_rms,dynamic_error_state_rms,dynamic_minus_matched_tensor_ema_max_abs
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,0,0,0,1,0000000000.png,0000000001.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),1,0.0,1.0407224890146893,0.21542955522604068,0.21542956506997138,0.21542956506997138,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,1,1,1,2,0000000001.png,0000000002.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),2,0.0,0.9937708078761073,0.37654619452460447,0.25700694725836504,0.25700694725836504,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,2,2,2,3,0000000002.png,0000000003.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),3,0.0,1.1033261296785264,0.5269896411014663,0.27936945152320086,0.27936945152320086,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,3,3,3,4,0000000003.png,0000000004.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),4,0.0,1.1096771795791438,0.6476059615663455,0.28345657057360996,0.28345657057360996,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,4,4,4,5,0000000004.png,0000000005.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),5,0.0,1.0764858113340272,0.7363840904682557,0.2753104370464234,0.2753104370464234,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,5,5,5,6,0000000005.png,0000000006.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),6,0.0,1.0725854837811322,0.8059777788840211,0.2806491526636612,0.2806491526636612,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,6,6,6,7,0000000006.png,0000000007.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),7,0.0,1.047465030022713,0.8559656398697304,0.27913562414652704,0.27913562414652704,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,7,7,7,8,0000000007.png,0000000008.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),8,0.0,1.0817174353144545,0.9026962615267883,0.286350922242943,0.286350922242943,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,8,8,8,9,0000000008.png,0000000009.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),9,0.0,1.0331397803346065,0.9296980699200067,0.28338412058741347,0.28338412058741347,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,9,9,9,10,0000000009.png,0000000010.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),10,0.0,0.9719353880933829,0.9384411947818956,0.27432269818758565,0.27432269818758565,0.0
