drive,corruption,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_severity,instant_error_rms,simple_scalar_ema_error_rms,dynamic_error_state_rms,matched_tensor_ema_error_rms
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,0,0,8,1,0.25,0.7514830843753589,0.82567951801249,0.2358681830854508,0.2358681830854508
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,1,8,16,1,0.25,0.7940013561194551,0.7898948593764421,0.24188715004686626,0.24188715004686626
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,2,16,24,1,0.375,0.673049906559966,0.7251299006946819,0.22370147804832152,0.22370147804832152
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,3,24,32,1,0.5,0.6096857807581688,0.6317106758705305,0.22975869244401664,0.22975869244401664
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,4,32,40,1,0.5,0.6415353602596107,0.6374834941386591,0.2431356310353198,0.2431356310353198
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,5,40,48,1,0.75,0.5061604874759933,0.5613308046142128,0.22993606584614917,0.22993606584614917
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,6,48,56,1,0.75,0.5239496814981076,0.5208255706488487,0.24884837322174935,0.24884837322174935
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,7,56,64,1,0.875,0.5220269286105573,0.5280344967043896,0.2606101963144501,0.2606101963144501
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,8,64,72,1,1.0,0.4161145045571946,0.46196122389339656,0.24847880340600179,0.24847880340600179
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,9,72,80,1,1.0,0.388895295566083,0.3990108528832879,0.24180935926099145,0.24180935926099145
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,1,0,0,8,1,0.5,0.6869159709444432,0.8009212183413702,0.23022419970466862,0.23022419970466862
