split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,copy_mse,velocity_mse,oracle_translation_mse,copy_minus_velocity_mse,copy_minus_velocity_over_copy,copy_minus_oracle_mse,copy_minus_oracle_over_copy,adjacent_delta_cosine,oracle_shift_dy_cells,oracle_shift_dx_cells
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,2,0000000000.png,0000000001.png,0000000002.png,stage3,256,56,56,4,1,0.1035,12.194467544555664,33.19026565551758,7.308948516845703,-20.995798110961914,-1.721747875213623,4.885519027709961,0.4006340503692627,-0.40101832151412964,-1,1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,3,0000000001.png,0000000002.png,0000000003.png,stage3,256,56,56,4,1,0.1035,11.453003883361816,33.46392059326172,7.306197166442871,-22.01091766357422,-1.9218467473983765,4.146806716918945,0.36207154393196106,-0.4153202772140503,-1,1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,4,0000000002.png,0000000003.png,0000000004.png,stage3,256,56,56,4,1,0.1035,9.759496688842773,29.73781967163086,6.292773246765137,-19.978322982788086,-2.047064781188965,3.4667234420776367,0.3552154004573822,-0.40318769216537476,0,1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,5,0000000003.png,0000000004.png,0000000005.png,stage3,256,56,56,4,1,0.1035,9.876669883728027,27.12860107421875,6.082446575164795,-17.251930236816406,-1.7467355728149414,3.7942233085632324,0.38416019082069397,-0.3815697431564331,0,1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,3,0000000000.png,0000000001.png,0000000003.png,stage3,256,56,56,4,2,0.207,13.831026077270508,82.45427703857422,13.638018608093262,-68.62325286865234,-4.961544513702393,0.1930074691772461,0.013954674825072289,-0.40101832151412964,-1,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,4,0000000001.png,0000000002.png,0000000004.png,stage3,256,56,56,4,2,0.207,12.687180519104004,83.90375518798828,12.469454765319824,-71.2165756225586,-5.613270282745361,0.2177257537841797,0.017161082476377487,-0.4153202772140503,-1,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,5,0000000002.png,0000000003.png,0000000005.png,stage3,256,56,56,4,2,0.207,12.143733978271484,78.82102966308594,11.956121444702148,-66.67729187011719,-5.4906744956970215,0.18761253356933594,0.01544932834804058,-0.40318769216537476,0,1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,6,0000000003.png,0000000004.png,0000000006.png,stage3,256,56,56,4,2,0.207,12.126845359802246,69.27709197998047,11.76517391204834,-57.150245666503906,-4.712705135345459,0.36167144775390625,0.02982403337955475,-0.3815697431564331,0,1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,4,0000000000.png,0000000001.png,0000000004.png,stage3,256,56,56,4,3,0.3105,13.662298202514648,150.29774475097656,13.637261390686035,-136.6354522705078,-10.0009126663208,0.02503681182861328,0.0018325475975871086,-0.40101832151412964,-1,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,5,0000000001.png,0000000002.png,0000000005.png,stage3,256,56,56,4,3,0.3105,13.164098739624023,156.87832641601562,13.164098739624023,-143.7142333984375,-10.917134284973145,0.0,0.0,-0.4153202772140503,0,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,6,0000000002.png,0000000003.png,0000000006.png,stage3,256,56,56,4,3,0.3105,12.830212593078613,148.0643768310547,12.830212593078613,-135.23416137695312,-10.540289878845215,0.0,0.0,-0.40318769216537476,0,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,7,0000000003.png,0000000004.png,0000000007.png,stage3,256,56,56,4,3,0.3105,12.662219047546387,127.99190521240234,12.662219047546387,-115.3296890258789,-9.108173370361328,0.0,0.0,-0.3815697431564331,0,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,6,0000000000.png,0000000001.png,0000000006.png,stage3,256,56,56,4,5,0.5175,14.192041397094727,360.5751647949219,13.865804672241211,-346.38311767578125,-24.406856536865234,0.3262367248535156,0.022987300530076027,-0.40101832151412964,-1,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,7,0000000001.png,0000000002.png,0000000007.png,stage3,256,56,56,4,5,0.5175,13.33361530303955,378.6238098144531,13.33361530303955,-365.2901916503906,-27.39618492126465,0.0,0.0,-0.4153202772140503,0,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,8,0000000002.png,0000000003.png,0000000008.png,stage3,256,56,56,4,5,0.5175,13.514829635620117,358.7196960449219,13.514829635620117,-345.2048645019531,-25.542673110961914,0.0,0.0,-0.40318769216537476,0,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,9,0000000003.png,0000000004.png,0000000009.png,stage3,256,56,56,4,5,0.5175,13.770548820495605,306.0245361328125,13.770548820495605,-292.2539978027344,-21.223119735717773,0.0,0.0,-0.3815697431564331,0,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,2,0000000000.png,0000000001.png,0000000002.png,stage4,512,28,28,8,1,0.1035,1.800923466682434,3.7205891609191895,1.800923466682434,-1.9196656942367554,-1.0659340620040894,0.0,0.0,-0.11599178612232208,0,0
