method,causal,split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,radius_cells,radius_input_pixels,patch_size,copy_mse,result_mse,copy_minus_result_mse,copy_minus_result_over_copy,matching_patch_mse,nonzero_motion_fraction,mean_motion_magnitude_cells,coverage_fraction,collision_fraction
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,2,0000000000.png,0000000001.png,0000000002.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.10943007469177246,0.09772610664367676,0.011703968048095703,0.10695385187864304,0.09772612154483795,0.38265305757522583,0.39533302187919617,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,3,0000000001.png,0000000002.png,0000000003.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.08855751156806946,0.07637039572000504,0.012187115848064423,0.13761809468269348,0.07637040317058563,0.40816324949264526,0.4250699281692505,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,4,0000000002.png,0000000003.png,0000000004.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.09267790615558624,0.06898518651723862,0.023692719638347626,0.2556458115577698,0.06898518651723862,0.4693877398967743,0.490521103143692,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,5,0000000003.png,0000000004.png,0000000005.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.07182876020669937,0.06145881861448288,0.010369941592216492,0.14437033236026764,0.06145881861448288,0.4336734712123871,0.43578681349754333,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,2,0000000000.png,0000000001.png,0000000002.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.10943007469177246,0.10443399101495743,0.004996083676815033,0.04565548896789551,0.08990856260061264,0.18877550959587097,0.18877550959587097,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,3,0000000001.png,0000000002.png,0000000003.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.08855751156806946,0.08472016453742981,0.0038373470306396484,0.04333169385790825,0.07224339991807938,0.18877550959587097,0.18877550959587097,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,4,0000000002.png,0000000003.png,0000000004.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.09267790615558624,0.078770212829113,0.013907693326473236,0.15006482601165771,0.06627890467643738,0.3622449040412903,0.36858493089675903,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,5,0000000003.png,0000000004.png,0000000005.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.07182876020669937,0.06872742623090744,0.003101333975791931,0.04317677021026611,0.05857258290052414,0.2448979616165161,0.2448979616165161,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,2,0000000000.png,0000000001.png,0000000002.png,stage5,512,14,14,16,1,0.1035,2,32,1,0.10943007469177246,0.0967283546924591,0.012701719999313354,0.11607156693935394,0.0967283546924591,0.3928571343421936,0.461988627910614,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,3,0000000001.png,0000000002.png,0000000003.png,stage5,512,14,14,16,1,0.1035,2,32,1,0.08855751156806946,0.07546454668045044,0.013092964887619019,0.1478470265865326,0.07546454668045044,0.4234693646430969,0.5325083136558533,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,4,0000000002.png,0000000003.png,0000000004.png,stage5,512,14,14,16,1,0.1035,2,32,1,0.09267790615558624,0.06485354900360107,0.02782435715198517,0.3002264201641083,0.06485354155302048,0.4744897782802582,0.5994258522987366,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,5,0000000003.png,0000000004.png,0000000005.png,stage5,512,14,14,16,1,0.1035,2,32,1,0.07182876020669937,0.061218902468681335,0.010609857738018036,0.14771044254302979,0.061218902468681335,0.45408162474632263,0.5135218501091003,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,2,0000000000.png,0000000001.png,0000000002.png,stage5,512,14,14,16,1,0.1035,2,32,3,0.10943007469177246,0.10432764887809753,0.005102425813674927,0.04662727192044258,0.08989318460226059,0.18877550959587097,0.20408162474632263,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,3,0000000001.png,0000000002.png,0000000003.png,stage5,512,14,14,16,1,0.1035,2,32,3,0.08855751156806946,0.08472016453742981,0.0038373470306396484,0.04333169385790825,0.07224339991807938,0.18877550959587097,0.18877550959587097,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,4,0000000002.png,0000000003.png,0000000004.png,stage5,512,14,14,16,1,0.1035,2,32,3,0.09267790615558624,0.06961992383003235,0.023057982325553894,0.2487969696521759,0.0632382407784462,0.37244898080825806,0.46159252524375916,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,5,0000000003.png,0000000004.png,0000000005.png,stage5,512,14,14,16,1,0.1035,2,32,3,0.07182876020669937,0.06864535063505173,0.003183409571647644,0.044319428503513336,0.05856403708457947,0.25,0.2551020383834839,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,4,0000000000.png,0000000001.png,0000000004.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.23621433973312378,0.1292913407087326,0.10692299902439117,0.4526524543762207,0.1292913556098938,0.7908163070678711,0.9218430519104004,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,5,0000000001.png,0000000002.png,0000000005.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.2087169736623764,0.10598158836364746,0.10273538529872894,0.49222344160079956,0.10598158836364746,0.8571428656578064,0.9099762439727783,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,6,0000000002.png,0000000003.png,0000000006.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.1635478287935257,0.09850769490003586,0.06504013389348984,0.39768263697624207,0.09850769490003586,0.84183669090271,0.8883301019668579,1.0,0.0
